"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.668432708E0,2.794089661E0,2.125579834E0,9.860744476E0,1.046705824E1
2.678493708E0,2.621199188E0,1.714684296E0,9.702523499E0,1.019557697E1
2.688554708E0,2.492317200E0,1.198108521E0,9.662107544E0,1.005004633E1
2.698615708E0,2.427951050E0,1.133742371E0,9.735455017E0,1.009749486E1
2.708675708E0,2.241887970E0,1.675914917E0,9.733658752E0,1.012812249E1
2.718736708E0,1.992805939E0,1.917213135E0,9.668693848E0,1.005637223E1
2.728797708E0,1.611698456E0,1.626667328E0,9.802066498E0,1.006598858E1
2.738858708E0,1.581311646E0,1.600920868E0,9.798623657E0,1.005368190E1
2.748918708E0,1.630409546E0,1.244811401E0,9.879305878E0,1.009001860E1
2.758979708E0,1.789977722E0,7.378157043E-1,9.799521790E0,9.988944867E0
2.769040708E0,2.584525452E0,1.369651794E0,9.899813232E0,1.032288816E1
2.779100708E0,1.730102234E0,1.022972717E0,9.910590820E0,1.011234579E1
2.789161708E0,6.716532898E-1,7.358697510E-1,9.781858521E0,9.832465538E0
2.799222708E0,3.692820740E-1,1.149010620E0,9.598340149E0,9.673920005E0
2.809283708E0,4.963677979E-1,1.506167908E0,9.581575012E0,9.711925786E0
2.819343708E0,9.821076965E-1,1.452130280E0,9.668693848E0,9.826334952E0
2.829404708E0,1.525028687E0,1.330732727E0,9.814340973E0,1.002087076E1
2.839465708E0,1.034947815E0,6.592291260E-1,9.878108368E0,9.954030588E0
2.849526708E0,8.283773804E-1,7.132667542E-1,9.998907166E0,1.005848413E1
2.859586708E0,4.610412598E-1,6.448590088E-1,9.586814117E0,9.619532583E0
2.869647708E0,5.284011841E-1,6.304888916E-1,9.669891357E0,9.704819572E0
2.879708708E0,8.532257080E-1,8.806187439E-1,9.857900391E0,9.933865491E0
2.889769708E0,9.824070740E-1,7.764353943E-1,9.744436340E0,9.824561831E0
2.899829708E0,1.254541168E0,1.006956024E0,9.819729767E0,9.950624436E0
2.909890708E0,8.677455139E-1,1.055455170E0,9.808203735E0,9.902920196E0
2.919951708E0,4.932243347E-1,8.936416626E-1,9.735604706E0,9.788966475E0
2.930012708E0,3.855981445E-1,4.858895874E-1,9.903405762E0,9.922813124E0
2.940072708E0,1.769320679E-1,1.347198486E-3,9.716743927E0,9.718354764E0
2.950133708E0,1.954934692E-1,3.921844482E-2,9.756112061E0,9.758149329E0
2.960194708E0,2.083666992E-1,4.161346436E-2,9.744136963E0,9.746453381E0
2.970255708E0,2.392025757E-1,2.200424194E-2,9.807904358E0,9.810845527E0
2.980315708E0,2.710862732E-1,3.338058472E-2,9.820478210E0,9.824275765E0
2.990376708E0,2.776725769E-1,1.601669312E-2,9.789941711E0,9.793891837E0
3.000437708E0,2.612068176E-1,2.020797729E-2,9.788744202E0,9.792249507E0
3.010498708E0,2.420466614E-1,7.933502197E-3,9.786648560E0,9.789644506E0
3.020558708E0,2.186952209E-1,2.888992310E-2,9.784702606E0,9.787188939E0
3.030619708E0,2.133064270E-1,4.011657715E-2,9.782008209E0,9.784415853E0
3.040680708E0,2.100132751E-1,3.876937866E-2,9.789642334E0,9.791971490E0
3.050740708E0,2.365081787E-1,3.442840576E-2,9.799821167E0,9.802735146E0
3.060801708E0,2.630030823E-1,2.814147949E-2,9.800120544E0,9.803689369E0
3.070862708E0,2.658471680E-1,2.649490356E-2,9.789043579E0,9.792688645E0
3.080923708E0,2.495310974E-1,3.667373657E-2,9.796977081E0,9.800222990E0
3.090983708E0,2.267784119E-1,4.131408691E-2,9.790390778E0,9.793104047E0
3.101044708E0,2.043251038E-1,4.146377563E-2,9.787097626E0,9.789318052E0
3.111105708E0,2.177970886E-1,2.275268555E-2,9.787546692E0,9.789996093E0
3.121166708E0,2.362088013E-1,2.634521484E-2,9.794282684E0,9.797166017E0
3.131226708E0,2.472857666E-1,3.367996216E-2,9.788444824E0,9.791625844E0
3.141287708E0,2.552192688E-1,1.032852173E-2,9.797725525E0,9.801054485E0
3.151348708E0,2.490820312E-1,1.990859985E-2,9.804760895E0,9.807944454E0
3.161409708E0,2.538720703E-1,3.338058472E-2,9.789193268E0,9.792541556E0
3.171469708E0,2.321672058E-1,3.323089600E-2,9.798024902E0,9.800831490E0
3.181530708E0,2.043251038E-1,3.412902832E-2,9.789941711E0,9.792133182E0
3.191591708E0,2.182461548E-1,2.619552612E-2,9.793384552E0,9.795851090E0
3.201652708E0,2.433938599E-1,4.775070190E-2,9.788145447E0,9.791287555E0
3.211712708E0,2.653981018E-1,3.098556519E-2,9.794582062E0,9.798226065E0
3.221773708E0,2.793191528E-1,2.454895020E-2,9.802515564E0,9.806525033E0
